"","entry","floor","building","house","cert","neighborhood"
"44","C","1","Main","Leverett","Green","East"
"45","E","2","Main","Leverett","Green","East"
"46","C","2","Main","Adams","Green","Central"
"47","B","3","Main","Dunster","Silver","East"
"48","D","1","Not Main","Mather","Silver","East"
"49","B","2","Main","Cabot","Green","Quad"
"50","E","2","Main","Cabot","Gold","Quad"
"51","E","2","Not Main","Mather","Silver","East"
"52","E","1","Main","Lowell","Silver","Central"
"53","E","1","Not Main","Lowell","Silver","Central"
"54","E","3","Not Main","Dunster","Silver","East"
"55","E","1","Main","Mather","Gold","East"
"56","B","3","Not Main","Currier","Silver","Quad"
"57","E","2","Main","Winthrop","Silver","West"
"58","B","3","Not Main","Adams","Green","Central"
"59","C","1","Not Main","Currier","Green","Quad"
"60","C","3","Main","Eliot","Green","West"
"61","B","2","Main","Winthrop","Silver","West"
"62","B","3","Not Main","Eliot","Gold","West"
"63","A","2","Main","Winthrop","Silver","West"
"64","B","2","Main","Lowell","Silver","Central"
"65","B","3","Main","Eliot","Green","West"
"66","B","1","Main","Quincy","Silver","Central"
"67","D","3","Not Main","Winthrop","Green","West"
"68","E","2","Not Main","Quincy","Green","Central"
"69","E","3","Not Main","Kirkland","Green","West"
"70","C","2","Main","Winthrop","Gold","West"
"71","B","2","Not Main","Dunster","Silver","East"
"72","B","2","Main","Leverett","Gold","East"
"73","E","2","Main","Lowell","Silver","Central"
"74","B","1","Main","Currier","Silver","Quad"
"75","D","3","Not Main","Leverett","Green","East"
"76","D","3","Main","Quincy","Gold","Central"
"77","A","1","Not Main","Leverett","Gold","East"
"78","D","3","Not Main","Quincy","Gold","Central"
"79","E","1","Main","Pfoho","Green","Quad"
"80","C","1","Not Main","Eliot","Green","West"
"81","B","3","Main","Adams","Green","Central"
"82","D","2","Not Main","Dunster","Gold","East"
"83","B","1","Not Main","Kirkland","Green","West"
"84","E","2","Not Main","Quincy","Silver","Central"
"85","A","3","Not Main","Lowell","Green","Central"
"86","E","2","Not Main","Leverett","Gold","East"
"87","E","3","Main","Quincy","Silver","Central"
"88","C","1","Main","Adams","Gold","Central"
"89","D","2","Not Main","Eliot","Silver","West"
"90","D","3","Main","Cabot","Green","Quad"
"91","A","3","Not Main","Leverett","Silver","East"
"92","D","2","Not Main","Eliot","Green","West"
"93","A","3","Not Main","Pfoho","Green","Quad"
"94","D","1","Main","Kirkland","Silver","West"
"95","B","3","Not Main","Eliot","Green","West"
"96","B","1","Not Main","Kirkland","Silver","West"
"97","E","2","Main","Winthrop","Green","West"
"98","D","2","Main","Leverett","Green","East"
"99","C","1","Not Main","Mather","Green","East"
"100","C","1","Not Main","Cabot","Gold","Quad"
"101","E","3","Main","Eliot","Silver","West"
"102","B","3","Not Main","Quincy","Green","Central"
"103","E","1","Main","Mather","Green","East"
"104","C","3","Not Main","Pfoho","Silver","Quad"
"105","C","1","Main","Mather","Silver","East"
"106","D","3","Main","Adams","Silver","Central"
"107","D","2","Not Main","Cabot","Green","Quad"
"108","B","3","Main","Winthrop","Green","West"
"109","C","1","Not Main","Quincy","Green","Central"
"110","E","1","Main","Mather","Green","East"
"111","D","3","Main","Dunster","Silver","East"
"112","D","1","Main","Eliot","Green","West"
"113","C","1","Main","Quincy","Green","Central"
"114","D","3","Not Main","Quincy","Green","Central"
"115","E","1","Not Main","Cabot","Silver","Quad"
"116","B","2","Not Main","Mather","Green","East"
"117","E","3","Not Main","Kirkland","Green","West"
"118","D","1","Not Main","Mather","Silver","East"
"119","C","3","Main","Currier","Silver","Quad"
"120","E","1","Main","Pfoho","Green","Quad"
"121","B","1","Not Main","Leverett","Silver","East"
"122","C","3","Not Main","Currier","Gold","Quad"
"123","C","3","Not Main","Mather","Green","East"
"124","E","1","Main","Eliot","Gold","West"
"125","D","3","Not Main","Winthrop","Gold","West"
"126","E","3","Main","Mather","Gold","East"
"127","D","3","Main","Pfoho","Silver","Quad"
"128","E","1","Main","Winthrop","Silver","West"
"129","B","2","Not Main","Currier","Silver","Quad"
"130","D","3","Not Main","Leverett","Green","East"
"131","E","2","Not Main","Winthrop","Green","West"
"132","C","1","Main","Currier","Gold","Quad"
"133","E","3","Not Main","Adams","Silver","Central"
"134","D","2","Main","Kirkland","Green","West"
"135","B","3","Main","Cabot","Green","Quad"
"136","C","2","Main","Currier","Green","Quad"
"137","D","2","Main","Eliot","Green","West"
"138","B","1","Not Main","Quincy","Green","Central"
"139","B","2","Not Main","Winthrop","Green","West"
"140","C","2","Not Main","Dunster","Green","East"
"141","D","3","Main","Winthrop","Silver","West"
"142","C","3","Main","Winthrop","Gold","West"
"143","C","1","Main","Dunster","Green","East"
"144","C","1","Main","Mather","Green","East"
"145","C","3","Not Main","Adams","Gold","Central"
"146","C","1","Not Main","Eliot","Green","West"
"147","E","1","Not Main","Winthrop","Gold","West"
"148","D","2","Not Main","Eliot","Green","West"
"149","C","3","Main","Dunster","Green","East"
"150","B","1","Main","Adams","Green","Central"
"151","B","1","Not Main","Cabot","Green","Quad"
"152","D","3","Main","Cabot","Gold","Quad"
"153","D","1","Main","Currier","Green","Quad"
"154","A","2","Not Main","Adams","Gold","Central"
"155","B","2","Not Main","Adams","Green","Central"
"156","C","3","Not Main","Adams","Silver","Central"
"157","D","1","Not Main","Kirkland","Gold","West"
"158","C","3","Main","Kirkland","Green","West"
"159","E","2","Main","Winthrop","Green","West"
"160","D","3","Main","Quincy","Gold","Central"
"161","B","1","Not Main","Dunster","Green","East"
"162","D","1","Main","Winthrop","Green","West"
"163","A","2","Not Main","Pfoho","Green","Quad"
"164","E","2","Main","Winthrop","Silver","West"
"165","B","1","Main","Winthrop","Silver","West"
"166","C","1","Main","Dunster","Gold","East"
"167","D","1","Main","Adams","Gold","Central"
"168","A","1","Main","Lowell","Green","Central"
"169","D","3","Not Main","Dunster","Silver","East"
"170","C","3","Not Main","Currier","Gold","Quad"
"171","E","1","Not Main","Pfoho","Green","Quad"
"172","E","3","Main","Mather","Gold","East"
"173","A","1","Not Main","Cabot","Silver","Quad"
"174","E","3","Main","Winthrop","Gold","West"
"175","C","3","Main","Currier","Green","Quad"
"176","E","1","Not Main","Winthrop","Green","West"
"177","A","1","Main","Cabot","Silver","Quad"
"178","A","2","Not Main","Leverett","Green","East"
"179","C","3","Not Main","Dunster","Green","East"
"180","D","2","Main","Mather","Green","East"
"181","D","1","Main","Mather","Green","East"
"182","C","2","Not Main","Currier","Silver","Quad"
"183","A","2","Main","Leverett","Green","East"
"184","E","1","Not Main","Kirkland","Silver","West"
"185","C","2","Main","Mather","Gold","East"
"186","B","3","Main","Quincy","Silver","Central"
"187","A","1","Not Main","Kirkland","Green","West"
"188","C","3","Main","Quincy","Green","Central"
"189","E","3","Main","Kirkland","Green","West"
"190","B","3","Main","Mather","Gold","East"
"191","A","1","Main","Kirkland","Green","West"
"192","A","3","Not Main","Mather","Green","East"
"193","A","3","Main","Leverett","Silver","East"
"194","A","1","Not Main","Quincy","Silver","Central"
"195","B","3","Not Main","Mather","Green","East"
"196","E","3","Main","Leverett","Green","East"
"197","D","2","Not Main","Mather","Gold","East"
"198","E","2","Main","Leverett","Gold","East"
"199","B","1","Not Main","Dunster","Green","East"
"200","C","3","Not Main","Leverett","Green","East"
"201","D","2","Not Main","Currier","Green","Quad"
"202","B","1","Not Main","Cabot","Silver","Quad"
"203","D","1","Not Main","Adams","Silver","Central"
"204","E","1","Main","Kirkland","Silver","West"
"205","B","2","Main","Winthrop","Silver","West"
"206","E","2","Main","Quincy","Gold","Central"
"207","A","2","Not Main","Leverett","Green","East"
"208","C","3","Not Main","Dunster","Green","East"
"209","D","1","Main","Adams","Green","Central"
"210","E","2","Main","Adams","Silver","Central"
"211","C","2","Not Main","Lowell","Silver","Central"
"212","A","1","Main","Mather","Green","East"
"213","E","1","Main","Adams","Green","Central"
"214","C","1","Not Main","Winthrop","Gold","West"
"215","B","3","Main","Winthrop","Green","West"
"216","C","2","Main","Currier","Silver","Quad"
"217","D","1","Not Main","Mather","Silver","East"
"218","D","1","Main","Lowell","Green","Central"
"219","B","3","Not Main","Mather","Gold","East"
"220","A","2","Main","Dunster","Green","East"
"221","C","2","Main","Mather","Silver","East"
"222","E","1","Not Main","Quincy","Gold","Central"
"223","B","1","Not Main","Quincy","Silver","Central"
"224","B","2","Not Main","Dunster","Green","East"
"225","E","1","Main","Quincy","Green","Central"
"226","B","2","Main","Quincy","Gold","Central"
"227","E","1","Not Main","Cabot","Gold","Quad"
"228","C","1","Main","Kirkland","Green","West"
"229","D","3","Main","Dunster","Green","East"
"230","B","1","Main","Dunster","Green","East"
"231","C","1","Not Main","Winthrop","Gold","West"
"232","A","2","Main","Mather","Silver","East"
"233","D","1","Not Main","Winthrop","Green","West"
"234","C","3","Not Main","Currier","Green","Quad"
"235","C","1","Main","Winthrop","Green","West"
"236","B","3","Not Main","Currier","Gold","Quad"
"237","D","2","Main","Winthrop","Green","West"
"238","A","3","Not Main","Dunster","Green","East"
"239","B","1","Main","Kirkland","Silver","West"
"240","C","1","Not Main","Currier","Green","Quad"
"241","B","2","Main","Cabot","Gold","Quad"
"242","B","3","Not Main","Winthrop","Silver","West"
"243","A","1","Not Main","Leverett","Silver","East"
"244","A","3","Not Main","Dunster","Silver","East"
"245","E","2","Not Main","Cabot","Green","Quad"
"246","A","3","Not Main","Kirkland","Green","West"
"247","C","1","Not Main","Adams","Green","Central"
"248","E","3","Not Main","Lowell","Gold","Central"
"249","D","3","Main","Cabot","Gold","Quad"
"250","A","3","Main","Currier","Green","Quad"
"251","D","2","Main","Dunster","Silver","East"
"252","B","3","Not Main","Lowell","Silver","Central"
"253","B","3","Not Main","Adams","Gold","Central"
"254","A","1","Not Main","Quincy","Green","Central"
"255","A","2","Main","Pfoho","Silver","Quad"
"256","B","1","Not Main","Currier","Green","Quad"
"257","C","3","Main","Quincy","Green","Central"
"258","C","3","Not Main","Pfoho","Green","Quad"
"259","D","1","Not Main","Leverett","Green","East"
"260","A","1","Not Main","Kirkland","Green","West"
"261","A","3","Main","Mather","Green","East"
"262","B","3","Main","Mather","Gold","East"
"263","C","1","Main","Quincy","Silver","Central"
"264","A","3","Main","Winthrop","Green","West"
"265","B","1","Not Main","Winthrop","Green","West"
"266","E","2","Not Main","Lowell","Green","Central"
"267","D","2","Main","Dunster","Silver","East"
"268","C","3","Main","Winthrop","Green","West"
"269","C","3","Not Main","Lowell","Silver","Central"
"270","A","3","Not Main","Dunster","Silver","East"
"271","E","1","Main","Dunster","Green","East"
"272","A","1","Main","Dunster","Silver","East"
"273","C","2","Not Main","Currier","Silver","Quad"
"274","B","1","Main","Dunster","Green","East"
"275","D","2","Not Main","Quincy","Green","Central"
"276","E","1","Main","Mather","Green","East"
"277","E","3","Not Main","Currier","Silver","Quad"
"278","A","2","Main","Cabot","Green","Quad"
"279","C","2","Main","Winthrop","Silver","West"
"280","A","2","Main","Lowell","Silver","Central"
"281","D","3","Main","Adams","Silver","Central"
"282","B","2","Not Main","Adams","Silver","Central"
"283","E","1","Not Main","Leverett","Silver","East"
"284","E","2","Not Main","Cabot","Green","Quad"
"285","C","3","Main","Adams","Green","Central"
"286","B","2","Not Main","Lowell","Green","Central"
"287","D","2","Main","Dunster","Green","East"
"288","D","3","Not Main","Winthrop","Gold","West"
"289","C","2","Main","Leverett","Gold","East"
"290","C","2","Not Main","Lowell","Green","Central"
"291","B","2","Main","Adams","Gold","Central"
"292","A","3","Not Main","Adams","Green","Central"
"293","C","1","Not Main","Mather","Gold","East"
"294","B","2","Not Main","Kirkland","Gold","West"
"295","A","3","Main","Winthrop","Green","West"
"296","C","2","Not Main","Winthrop","Green","West"
"297","E","2","Main","Currier","Silver","Quad"
"298","B","3","Not Main","Cabot","Silver","Quad"
"299","C","3","Main","Currier","Silver","Quad"
"300","B","1","Not Main","Winthrop","Green","West"
"301","D","2","Main","Dunster","Green","East"
"302","B","1","Main","Mather","Gold","East"
"303","D","2","Not Main","Pfoho","Silver","Quad"
"304","A","2","Main","Dunster","Green","East"
"305","C","3","Main","Eliot","Green","West"
"306","B","1","Not Main","Dunster","Gold","East"
"307","B","2","Main","Currier","Gold","Quad"
"308","A","2","Not Main","Pfoho","Green","Quad"
"309","C","3","Main","Winthrop","Green","West"
"310","D","3","Main","Dunster","Silver","East"
"311","C","1","Not Main","Kirkland","Green","West"
"312","A","2","Main","Leverett","Green","East"
"313","D","2","Main","Cabot","Green","Quad"
"314","C","1","Not Main","Adams","Silver","Central"
"315","E","1","Main","Winthrop","Silver","West"
"316","E","1","Main","Leverett","Green","East"
"317","C","3","Main","Eliot","Green","West"
"318","A","1","Main","Kirkland","Green","West"
"319","E","3","Main","Eliot","Green","West"
"320","A","2","Not Main","Winthrop","Green","West"
"321","D","3","Not Main","Winthrop","Green","West"
"322","C","2","Not Main","Dunster","Silver","East"
"323","C","1","Not Main","Winthrop","Green","West"
"324","A","1","Not Main","Dunster","Green","East"
"325","C","3","Main","Mather","Silver","East"
"326","B","3","Main","Dunster","Green","East"
"327","C","3","Not Main","Winthrop","Gold","West"
"328","D","1","Not Main","Eliot","Silver","West"
"329","C","2","Main","Mather","Silver","East"
"330","E","1","Not Main","Quincy","Green","Central"
"331","A","1","Not Main","Dunster","Green","East"
"332","E","2","Not Main","Currier","Silver","Quad"
"333","E","1","Main","Winthrop","Silver","West"
"334","E","3","Main","Pfoho","Green","Quad"
"335","A","2","Main","Currier","Green","Quad"
"336","C","3","Not Main","Pfoho","Green","Quad"
"337","A","3","Not Main","Cabot","Green","Quad"
"338","C","3","Not Main","Winthrop","Green","West"
"339","B","2","Main","Currier","Silver","Quad"
"340","D","1","Not Main","Lowell","Green","Central"
"341","E","2","Main","Adams","Silver","Central"
"342","C","3","Main","Dunster","Green","East"
"343","D","3","Not Main","Cabot","Green","Quad"
"344","A","2","Not Main","Dunster","Silver","East"
"345","B","1","Not Main","Quincy","Green","Central"
"346","E","1","Main","Dunster","Green","East"
"347","D","1","Main","Kirkland","Green","West"
"348","A","2","Not Main","Mather","Green","East"
"349","B","1","Not Main","Cabot","Green","Quad"
"350","A","3","Main","Dunster","Gold","East"
"351","B","3","Main","Quincy","Silver","Central"
"352","E","2","Main","Adams","Green","Central"
"353","D","1","Main","Eliot","Green","West"
"354","A","2","Not Main","Lowell","Green","Central"
"355","E","1","Not Main","Winthrop","Silver","West"
"356","D","3","Main","Winthrop","Silver","West"
"357","C","1","Not Main","Currier","Green","Quad"
"358","D","3","Not Main","Currier","Silver","Quad"
"359","C","1","Main","Quincy","Silver","Central"
"360","E","1","Main","Leverett","Green","East"
"361","B","1","Main","Mather","Gold","East"
"362","C","1","Main","Mather","Green","East"
"363","C","1","Not Main","Winthrop","Gold","West"
"364","D","3","Not Main","Cabot","Gold","Quad"
"365","C","1","Not Main","Quincy","Gold","Central"
"366","A","2","Main","Cabot","Green","Quad"
"367","C","1","Main","Winthrop","Green","West"
"368","B","2","Main","Cabot","Green","Quad"
"369","E","2","Main","Eliot","Silver","West"
"370","B","1","Not Main","Leverett","Silver","East"
"371","C","3","Main","Leverett","Green","East"
"372","E","1","Main","Cabot","Silver","Quad"
"373","D","2","Not Main","Dunster","Gold","East"
"374","E","1","Not Main","Adams","Gold","Central"
"375","B","1","Not Main","Currier","Green","Quad"
"376","E","3","Main","Kirkland","Gold","West"
"377","E","1","Main","Leverett","Gold","East"
"378","A","3","Not Main","Winthrop","Silver","West"
"379","E","2","Not Main","Adams","Silver","Central"
"380","E","2","Main","Adams","Silver","Central"
"381","B","1","Main","Currier","Silver","Quad"
"382","C","2","Not Main","Cabot","Green","Quad"
"383","B","1","Not Main","Mather","Green","East"
"384","B","1","Main","Dunster","Green","East"
"385","A","2","Main","Winthrop","Green","West"
"386","C","3","Not Main","Mather","Green","East"
"387","C","2","Not Main","Dunster","Green","East"
"388","A","2","Main","Winthrop","Silver","West"
"389","A","1","Not Main","Winthrop","Silver","West"
"390","D","3","Not Main","Cabot","Green","Quad"
"391","C","1","Not Main","Eliot","Green","West"
"392","D","1","Not Main","Quincy","Green","Central"
"393","C","3","Main","Pfoho","Silver","Quad"
"394","E","1","Not Main","Mather","Green","East"
"395","C","1","Not Main","Mather","Green","East"
"396","D","2","Not Main","Currier","Gold","Quad"
"397","C","1","Main","Currier","Green","Quad"
"398","E","2","Not Main","Currier","Green","Quad"
"399","C","3","Not Main","Leverett","Silver","East"
"400","B","3","Not Main","Quincy","Green","Central"
"401","D","2","Not Main","Currier","Silver","Quad"
"402","E","2","Not Main","Cabot","Green","Quad"
"403","C","1","Not Main","Mather","Silver","East"
"404","C","2","Main","Eliot","Silver","West"
"405","D","3","Not Main","Mather","Green","East"
"406","D","1","Not Main","Quincy","Green","Central"
"407","B","2","Main","Cabot","Silver","Quad"
"408","E","1","Main","Eliot","Green","West"
"409","E","3","Not Main","Quincy","Green","Central"
"410","C","3","Not Main","Currier","Silver","Quad"
"411","D","2","Not Main","Adams","Gold","Central"
"412","E","3","Not Main","Dunster","Green","East"
"413","E","3","Main","Pfoho","Green","Quad"
"414","B","1","Not Main","Adams","Silver","Central"
"415","E","3","Main","Currier","Gold","Quad"
"416","D","1","Main","Cabot","Gold","Quad"
"417","D","3","Main","Eliot","Gold","West"
"418","A","2","Not Main","Quincy","Gold","Central"
"419","A","1","Main","Currier","Green","Quad"
"420","C","2","Not Main","Mather","Gold","East"
"421","B","2","Main","Quincy","Green","Central"
"422","E","2","Not Main","Lowell","Green","Central"
"423","C","3","Main","Pfoho","Silver","Quad"
"424","A","1","Main","Leverett","Silver","East"
"425","A","3","Main","Currier","Green","Quad"
"426","B","1","Main","Leverett","Green","East"
"427","E","2","Not Main","Winthrop","Gold","West"
"428","B","1","Not Main","Adams","Gold","Central"
"429","B","1","Main","Pfoho","Green","Quad"
"430","A","2","Main","Currier","Green","Quad"
"431","A","3","Main","Dunster","Green","East"
"432","D","2","Not Main","Adams","Green","Central"
"433","D","3","Main","Dunster","Silver","East"
"434","E","1","Not Main","Winthrop","Silver","West"
"435","B","1","Not Main","Cabot","Gold","Quad"
"436","B","1","Main","Lowell","Green","Central"
"437","A","3","Not Main","Adams","Green","Central"
"438","C","2","Main","Cabot","Green","Quad"
"439","C","3","Not Main","Leverett","Green","East"
"440","E","3","Main","Mather","Silver","East"
"441","C","1","Not Main","Kirkland","Silver","West"
"442","D","3","Not Main","Adams","Green","Central"
"443","D","1","Not Main","Dunster","Green","East"
"444","A","1","Main","Cabot","Gold","Quad"
"445","A","3","Not Main","Adams","Gold","Central"
"446","E","1","Main","Leverett","Gold","East"
"447","E","3","Not Main","Mather","Silver","East"
"448","A","1","Not Main","Dunster","Silver","East"
"449","D","1","Not Main","Dunster","Gold","East"
"450","B","1","Main","Winthrop","Green","West"
"451","A","3","Not Main","Winthrop","Gold","West"
"452","B","2","Main","Leverett","Green","East"
"453","B","1","Not Main","Leverett","Green","East"
"454","E","3","Main","Currier","Silver","Quad"
"455","E","3","Main","Pfoho","Silver","Quad"
"456","E","1","Main","Leverett","Green","East"
"457","B","2","Not Main","Currier","Silver","Quad"
"458","B","2","Main","Dunster","Gold","East"
"459","A","1","Not Main","Kirkland","Silver","West"
"460","E","2","Not Main","Winthrop","Green","West"
"461","D","2","Main","Cabot","Silver","Quad"
"462","D","1","Main","Dunster","Green","East"
"463","D","3","Not Main","Leverett","Green","East"
"464","D","1","Not Main","Pfoho","Green","Quad"
"465","D","3","Not Main","Winthrop","Green","West"
"466","D","2","Main","Lowell","Green","Central"
"467","E","1","Main","Lowell","Green","Central"
"468","D","3","Main","Leverett","Gold","East"
"469","E","1","Not Main","Kirkland","Green","West"
"470","E","2","Not Main","Adams","Green","Central"
"471","E","1","Not Main","Cabot","Silver","Quad"
"472","D","2","Main","Adams","Green","Central"
"473","C","3","Not Main","Quincy","Gold","Central"
"474","C","1","Main","Lowell","Green","Central"
"475","E","1","Not Main","Adams","Green","Central"
"476","E","3","Main","Lowell","Green","Central"
"477","C","3","Main","Mather","Gold","East"
"478","E","2","Not Main","Eliot","Silver","West"
"479","D","3","Not Main","Cabot","Green","Quad"
"480","E","2","Main","Winthrop","Green","West"
"481","B","2","Not Main","Mather","Green","East"
"482","C","2","Not Main","Adams","Green","Central"
"483","D","1","Not Main","Pfoho","Green","Quad"
"484","E","1","Main","Quincy","Silver","Central"
"485","D","2","Not Main","Mather","Green","East"
"486","E","1","Not Main","Eliot","Green","West"
"487","C","2","Main","Currier","Green","Quad"
"488","E","1","Main","Cabot","Silver","Quad"
"489","A","2","Main","Currier","Silver","Quad"
"490","C","3","Not Main","Leverett","Green","East"
"491","E","1","Main","Currier","Green","Quad"
"492","D","3","Not Main","Eliot","Gold","West"
"493","A","2","Main","Dunster","Green","East"
"494","B","1","Main","Dunster","Green","East"
"495","E","3","Main","Currier","Green","Quad"
"496","C","2","Not Main","Winthrop","Gold","West"
"497","E","2","Not Main","Winthrop","Gold","West"
"498","D","2","Main","Kirkland","Green","West"
"499","B","3","Main","Dunster","Gold","East"
"500","E","3","Not Main","Quincy","Silver","Central"
"501","B","3","Not Main","Cabot","Green","Quad"
"502","E","2","Main","Mather","Green","East"
"503","C","2","Main","Lowell","Silver","Central"
"504","B","3","Main","Quincy","Silver","Central"
"505","D","3","Main","Dunster","Silver","East"
"506","B","3","Not Main","Leverett","Gold","East"
"507","B","1","Not Main","Adams","Green","Central"
"508","B","2","Not Main","Dunster","Green","East"
"509","E","2","Not Main","Leverett","Silver","East"
"510","C","2","Main","Currier","Silver","Quad"
"511","E","2","Not Main","Winthrop","Gold","West"
"512","C","1","Main","Currier","Silver","Quad"
"513","D","1","Not Main","Currier","Green","Quad"
"514","A","3","Not Main","Dunster","Green","East"
"515","E","2","Main","Leverett","Green","East"
"516","B","1","Main","Quincy","Gold","Central"
"517","C","3","Main","Dunster","Green","East"
"518","C","2","Not Main","Quincy","Green","Central"
"519","B","3","Not Main","Mather","Gold","East"
"520","C","1","Not Main","Adams","Silver","Central"
"521","A","1","Not Main","Eliot","Green","West"
"522","A","1","Main","Dunster","Green","East"
"523","E","2","Main","Currier","Green","Quad"
"524","E","1","Main","Winthrop","Gold","West"
"525","A","1","Main","Mather","Green","East"
"526","E","2","Main","Winthrop","Green","West"
"527","A","2","Not Main","Currier","Green","Quad"
"528","A","3","Main","Dunster","Green","East"
"529","D","3","Not Main","Mather","Silver","East"
"530","D","2","Main","Mather","Silver","East"
"531","C","3","Main","Dunster","Gold","East"
"532","E","1","Not Main","Adams","Green","Central"
"533","E","1","Not Main","Kirkland","Green","West"
"534","A","1","Not Main","Dunster","Gold","East"
"535","C","3","Main","Dunster","Green","East"
"536","D","2","Not Main","Lowell","Silver","Central"
"537","C","1","Main","Leverett","Green","East"
"538","C","2","Not Main","Quincy","Green","Central"
"539","E","3","Main","Kirkland","Green","West"
"540","B","2","Not Main","Lowell","Green","Central"
"541","A","3","Main","Eliot","Silver","West"
"542","E","3","Main","Quincy","Green","Central"
"543","B","3","Not Main","Adams","Silver","Central"
"544","E","3","Not Main","Eliot","Silver","West"
"545","E","1","Not Main","Adams","Green","Central"
"546","E","1","Not Main","Lowell","Green","Central"
"547","D","3","Main","Dunster","Gold","East"
"548","A","2","Not Main","Cabot","Green","Quad"
"549","A","2","Not Main","Cabot","Gold","Quad"
"550","B","3","Main","Winthrop","Silver","West"
"551","D","2","Not Main","Currier","Silver","Quad"
"552","C","1","Main","Mather","Green","East"
"553","C","2","Not Main","Currier","Green","Quad"
"554","E","3","Main","Lowell","Green","Central"
"555","B","2","Not Main","Adams","Green","Central"
"556","C","1","Main","Adams","Green","Central"
"557","D","3","Main","Adams","Silver","Central"
"558","E","2","Main","Dunster","Green","East"
"559","E","1","Main","Winthrop","Gold","West"
"560","A","3","Not Main","Dunster","Silver","East"
"561","A","1","Not Main","Winthrop","Silver","West"
"562","E","2","Main","Dunster","Silver","East"
"563","E","3","Not Main","Lowell","Green","Central"
"564","B","2","Main","Leverett","Silver","East"
"565","E","2","Not Main","Mather","Gold","East"
"566","E","3","Not Main","Winthrop","Green","West"
"567","E","2","Main","Cabot","Green","Quad"
"568","E","2","Main","Pfoho","Green","Quad"
"569","D","2","Main","Dunster","Green","East"
"570","E","1","Main","Currier","Green","Quad"
"571","E","1","Main","Pfoho","Green","Quad"
"572","C","1","Not Main","Cabot","Silver","Quad"
"573","A","1","Main","Currier","Silver","Quad"
"574","E","2","Main","Leverett","Silver","East"
"575","C","2","Main","Quincy","Green","Central"
"576","D","3","Not Main","Winthrop","Gold","West"
"577","E","2","Not Main","Adams","Silver","Central"
"578","C","1","Not Main","Winthrop","Green","West"
"579","D","1","Main","Kirkland","Green","West"
"580","E","1","Not Main","Cabot","Gold","Quad"
"581","B","1","Main","Leverett","Green","East"
"582","B","1","Not Main","Pfoho","Gold","Quad"
"583","A","1","Main","Leverett","Green","East"
"584","A","1","Not Main","Kirkland","Green","West"
"585","B","1","Main","Winthrop","Green","West"
"586","C","3","Main","Cabot","Green","Quad"
"587","B","1","Not Main","Adams","Silver","Central"
"588","A","3","Main","Pfoho","Gold","Quad"
"589","E","3","Not Main","Leverett","Green","East"
"590","E","3","Main","Adams","Green","Central"
"591","E","3","Main","Eliot","Silver","West"
"592","E","2","Main","Cabot","Green","Quad"
"593","C","1","Not Main","Winthrop","Silver","West"
"594","D","1","Main","Quincy","Green","Central"
"595","C","1","Main","Quincy","Silver","Central"
"596","C","1","Main","Mather","Green","East"
"597","B","2","Main","Adams","Green","Central"
"598","B","2","Main","Winthrop","Gold","West"
"599","B","1","Not Main","Dunster","Green","East"
"600","A","1","Main","Winthrop","Green","West"
"601","D","1","Main","Cabot","Green","Quad"
"602","C","1","Not Main","Adams","Green","Central"
"603","A","2","Not Main","Currier","Green","Quad"
"604","C","1","Main","Cabot","Green","Quad"
